sheet,state,action,reason,n_valid,n_missing,n_leading_nan,n_trailing_nan,n_interior_gaps_filled
ARROZ,AC,KEPT_AS_IS,no missing values,108,0,0,0,0
ARROZ,AL,DROPPED,9 leading NaN(s) — cannot interpolate without anchor,99,9,9,0,0
ARROZ,AM,DROPPED,61 leading NaN(s) — cannot interpolate without anchor,47,61,61,0,0
ARROZ,AP,DROPPED,58 leading NaN(s) — cannot interpolate without anchor,50,58,58,0,0
ARROZ,BA,INTERPOLATED,1 interior gap(s) filled via linear interpolation,107,1,0,0,1
ARROZ,CE,KEPT_AS_IS,no missing values,108,0,0,0,0
ARROZ,DF,DROPPED,2 leading NaN(s) — cannot interpolate without anchor,106,2,2,0,0
ARROZ,ES,DROPPED,2 leading NaN(s) — cannot interpolate without anchor,106,2,2,0,0
ARROZ,GO,KEPT_AS_IS,no missing values,108,0,0,0,0
ARROZ,MA,INTERPOLATED,1 interior gap(s) filled via linear interpolation,107,1,0,0,1
ARROZ,MG,DROPPED,2 leading NaN(s) — cannot interpolate without anchor,106,2,2,0,0
ARROZ,MS,DROPPED,2 leading NaN(s) — cannot interpolate without anchor,106,2,2,0,0
ARROZ,MT,KEPT_AS_IS,no missing values,108,0,0,0,0
ARROZ,PA,KEPT_AS_IS,no missing values,108,0,0,0,0
ARROZ,PB,DROPPED,2 leading NaN(s) — cannot interpolate without anchor,106,2,2,0,0
ARROZ,PE,KEPT_AS_IS,no missing values,108,0,0,0,0
ARROZ,PI,KEPT_AS_IS,no missing values,108,0,0,0,0
ARROZ,PR,DROPPED,1 leading NaN(s) — cannot interpolate without anchor,107,1,1,0,0
ARROZ,RJ,INTERPOLATED,1 interior gap(s) filled via linear interpolation,107,1,0,0,1
ARROZ,RN,KEPT_AS_IS,no missing values,108,0,0,0,0
ARROZ,RO,DROPPED,2 leading NaN(s) — cannot interpolate without anchor,106,2,2,0,0
ARROZ,RR,KEPT_AS_IS,no missing values,108,0,0,0,0
ARROZ,RS,DROPPED,3 leading NaN(s) — cannot interpolate without anchor,103,5,3,0,0
ARROZ,SC,DROPPED,1 leading NaN(s) — cannot interpolate without anchor,106,2,1,0,0
ARROZ,SE,INTERPOLATED,1 interior gap(s) filled via linear interpolation,107,1,0,0,1
ARROZ,SP,KEPT_AS_IS,no missing values,108,0,0,0,0
ARROZ,TO,KEPT_AS_IS,no missing values,108,0,0,0,0
ACUCAR,AC,DROPPED,58 leading NaN(s) — cannot interpolate without anchor,50,58,58,0,0
ACUCAR,AL,DROPPED,10 leading NaN(s) — cannot interpolate without anchor,98,10,10,0,0
ACUCAR,AM,DROPPED,59 leading NaN(s) — cannot interpolate without anchor,49,59,59,0,0
ACUCAR,AP,DROPPED,58 leading NaN(s) — cannot interpolate without anchor,50,58,58,0,0
ACUCAR,BA,DROPPED,2 leading NaN(s) — cannot interpolate without anchor,106,2,2,0,0
ACUCAR,CE,DROPPED,2 leading NaN(s) — cannot interpolate without anchor,106,2,2,0,0
ACUCAR,DF,DROPPED,59 leading NaN(s) — cannot interpolate without anchor,49,59,59,0,0
ACUCAR,ES,DROPPED,2 leading NaN(s) — cannot interpolate without anchor,106,2,2,0,0
ACUCAR,GO,KEPT_AS_IS,no missing values,108,0,0,0,0
ACUCAR,MA,KEPT_AS_IS,no missing values,108,0,0,0,0
ACUCAR,MG,DROPPED,2 leading NaN(s) — cannot interpolate without anchor,106,2,2,0,0
ACUCAR,MS,DROPPED,104 leading NaN(s) — cannot interpolate without anchor,4,104,104,0,0
ACUCAR,MT,DROPPED,2 leading NaN(s) — cannot interpolate without anchor,106,2,2,0,0
ACUCAR,PA,KEPT_AS_IS,no missing values,108,0,0,0,0
ACUCAR,PB,DROPPED,2 leading NaN(s) — cannot interpolate without anchor,106,2,2,0,0
ACUCAR,PE,DROPPED,2 leading NaN(s) — cannot interpolate without anchor,106,2,2,0,0
ACUCAR,PI,DROPPED,59 leading NaN(s) — cannot interpolate without anchor,49,59,59,0,0
ACUCAR,PR,DROPPED,1 leading NaN(s) — cannot interpolate without anchor,107,1,1,0,0
ACUCAR,RJ,INTERPOLATED,1 interior gap(s) filled via linear interpolation,107,1,0,0,1
ACUCAR,RN,DROPPED,2 leading NaN(s) — cannot interpolate without anchor,106,2,2,0,0
ACUCAR,RO,DROPPED,2 leading NaN(s) — cannot interpolate without anchor,106,2,2,0,0
ACUCAR,RR,DROPPED,25 leading NaN(s) — cannot interpolate without anchor,83,25,25,0,0
ACUCAR,RS,INTERPOLATED,2 interior gap(s) filled via linear interpolation,106,2,0,0,2
ACUCAR,SC,INTERPOLATED,1 interior gap(s) filled via linear interpolation,107,1,0,0,1
ACUCAR,SE,DROPPED,2 leading NaN(s) — cannot interpolate without anchor,106,2,2,0,0
ACUCAR,SP,KEPT_AS_IS,no missing values,108,0,0,0,0
ACUCAR,TO,INTERPOLATED,1 interior gap(s) filled via linear interpolation,107,1,0,0,1
BATATA,AC,DROPPED,fully missing (0 valid observations),0,108,108,0,0
BATATA,AL,DROPPED,9 leading NaN(s); 14 trailing NaN(s) — cannot interpolate without anchor,81,27,9,14,0
BATATA,AM,DROPPED,1 leading NaN(s); 15 trailing NaN(s) — cannot interpolate without anchor,92,16,1,15,0
BATATA,AP,DROPPED,fully missing (0 valid observations),0,108,108,0,0
BATATA,BA,DROPPED,14 trailing NaN(s) — cannot interpolate without anchor,94,14,0,14,0
BATATA,CE,DROPPED,14 trailing NaN(s) — cannot interpolate without anchor,94,14,0,14,0
BATATA,DF,DROPPED,15 trailing NaN(s) — cannot interpolate without anchor,92,16,0,15,0
BATATA,ES,DROPPED,3 trailing NaN(s) — cannot interpolate without anchor,105,3,0,3,0
BATATA,GO,DROPPED,15 trailing NaN(s) — cannot interpolate without anchor,93,15,0,15,0
BATATA,MA,DROPPED,fully missing (0 valid observations),0,108,108,0,0
BATATA,MG,DROPPED,11 trailing NaN(s) — cannot interpolate without anchor,97,11,0,11,0
BATATA,MS,DROPPED,fully missing (0 valid observations),0,108,108,0,0
BATATA,MT,DROPPED,fully missing (0 valid observations),0,108,108,0,0
BATATA,PA,DROPPED,14 trailing NaN(s) — cannot interpolate without anchor,94,14,0,14,0
BATATA,PB,DROPPED,14 trailing NaN(s) — cannot interpolate without anchor,94,14,0,14,0
BATATA,PE,KEPT_AS_IS,no missing values,108,0,0,0,0
BATATA,PI,DROPPED,13 trailing NaN(s) — cannot interpolate without anchor,95,13,0,13,0
BATATA,PR,DROPPED,14 trailing NaN(s) — cannot interpolate without anchor,94,14,0,14,0
BATATA,RJ,DROPPED,15 trailing NaN(s) — cannot interpolate without anchor,92,16,0,15,0
BATATA,RN,DROPPED,fully missing (0 valid observations),0,108,108,0,0
BATATA,RO,DROPPED,15 trailing NaN(s) — cannot interpolate without anchor,93,15,0,15,0
BATATA,RR,DROPPED,fully missing (0 valid observations),0,108,108,0,0
BATATA,RS,DROPPED,fully missing (0 valid observations),0,108,108,0,0
BATATA,SC,DROPPED,14 leading NaN(s); 14 trailing NaN(s) — cannot interpolate without anchor,79,29,14,14,0
BATATA,SE,DROPPED,fully missing (0 valid observations),0,108,108,0,0
BATATA,SP,DROPPED,15 trailing NaN(s) — cannot interpolate without anchor,93,15,0,15,0
BATATA,TO,DROPPED,15 trailing NaN(s) — cannot interpolate without anchor,90,18,0,15,0
CAFÉ,AC,DROPPED,fully missing (0 valid observations),0,108,108,0,0
CAFÉ,AL,DROPPED,9 leading NaN(s) — cannot interpolate without anchor,99,9,9,0,0
CAFÉ,AM,DROPPED,fully missing (0 valid observations),0,108,108,0,0
