Commodity,Mean (BRL/kg),Std Dev,CV (%),Min,Max,Skewness,Kurtosis,N
CAFÉ,28.87,14.98,51.9,11.36,80.32,1.446,1.404,2776
CARNE BOVINA,24.72,10.43,42.2,1.2,61.72,0.636,-0.429,2084
CARNE SUINA,14.84,4.27,28.8,6.95,29.66,0.647,-0.277,2268
LEITE,14.05,7.8,55.5,2.07,34.17,-0.156,-1.349,3240
PÃO FRANCÊS   (kg),11.93,3.28,27.5,5.38,22.57,0.698,-0.03,3000
EXTRATO DE TOMATE,11.17,3.97,35.5,3.18,28.09,0.71,0.611,1732
MACARRAO,6.99,1.91,27.3,2.62,13.44,0.578,-0.078,2903
FEIJAO,6.77,1.81,26.8,2.74,15.23,0.178,-0.107,3041
OLEO DE SOJA (900 ml),6.01,2.31,38.4,2.61,12.86,0.214,-1.248,3183
FARINHA MANDIOCA,5.93,1.96,33.1,2.11,15.99,1.182,2.376,2849
TOMATE,5.57,2.22,39.8,1.58,14.84,0.631,-0.127,2127
FLOCOS DE MILHO,5.05,2.5,49.5,1.44,14.18,1.041,0.278,2662
FARINHA TRIGO,4.56,1.32,29.1,1.86,11.62,0.658,0.256,3119
BATATA,4.35,1.63,37.4,0.69,13.62,0.633,0.722,1982
ARROZ,4.2,1.4,33.3,1.78,8.35,0.407,-0.893,3112
ACUCAR,3.24,0.97,29.9,1.32,6.44,0.138,-0.971,2863
SAL    (kg),1.66,0.65,39.2,0.57,4.11,0.557,0.133,1728
